Query Name,Hit Contig ID,Hit length,Nb. HSPs,Score ,E Value ,Align. length,Identity,Query Start Position,Query End Position,Query frame,Query Coverage,Hit Start Position,Hit End Position,Hit frame,Hit coverage,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200732_LN:i:106080_RC:i:6_XO:i:0_pilon,102886,1,120,5.00E-57,120,100%,1,120,1,100%,47042,46923,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197048_LN:i:502322_RC:i:54_XO:i:0_pilon,510039,1,117,2.00E-55,120,99.20%,1,120,1,100%,65998,65879,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196310_LN:i:1375378_RC:i:151_XO:i:0_pilon,1410187,2,114,1.00E-53,120,98.30%,1,120,1,100%,818881,818762,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196310_LN:i:1375378_RC:i:151_XO:i:0_pilon,1410187,2,81,3.00E-35,106,92.50%,16,120,1,87.50%,1383396,1383501,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg196124_LN:i:348694_RC:i:52_XO:i:0_pilon,351348,1,112,1.00E-52,118,98.30%,3,120,1,98.30%,196764,196647,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg202968_LN:i:14458_RC:i:7_XO:i:0_pilon,13710,1,111,5.00E-52,120,97.50%,1,120,1,100%,837,956,1,0.90%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg200182_LN:i:489721_RC:i:41_XO:i:0_pilon,504241,1,111,5.00E-52,120,97.50%,1,120,1,100%,138471,138352,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199066_LN:i:220380_RC:i:14_XO:i:0_pilon,233376,3,111,5.00E-52,120,97.50%,1,120,1,100%,110470,110589,1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199066_LN:i:220380_RC:i:14_XO:i:0_pilon,233376,3,111,5.00E-52,120,97.50%,1,120,1,100%,130758,130639,-1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg199066_LN:i:220380_RC:i:14_XO:i:0_pilon,233376,3,105,1.00E-48,120,95.80%,1,120,1,100%,80649,80768,1,0.10%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198948_LN:i:646146_RC:i:75_XO:i:0_pilon,652205,2,111,5.00E-52,120,97.50%,1,120,1,100%,621637,621518,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198948_LN:i:646146_RC:i:75_XO:i:0_pilon,652205,2,55,7.00E-21,110,83.60%,11,120,1,91.70%,621442,621334,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198836_LN:i:1048334_RC:i:90_XO:i:0_pilon,1056266,3,111,5.00E-52,120,97.50%,1,120,1,100%,566738,566857,1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198836_LN:i:1048334_RC:i:90_XO:i:0_pilon,1056266,3,103,1.00E-47,109,98.20%,1,109,1,90.80%,21472,21364,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg198836_LN:i:1048334_RC:i:90_XO:i:0_pilon,1056266,3,73,7.00E-31,89,94.40%,32,120,1,74.20%,766836,766749,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197600_LN:i:253173_RC:i:16_XO:i:0_pilon,255154,2,111,5.00E-52,120,97.50%,1,120,1,100%,170780,170661,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197600_LN:i:253173_RC:i:16_XO:i:0_pilon,255154,2,43,3.00E-14,80,85%,41,120,1,66.70%,170554,170476,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Ars-DIR2_1_-3096_-2977,Utg197116_LN:i:505497_RC:i:33_XO:i:0_pilon,515723,2,111,5.00E-52,120,97.50%,1,120,1,100%,212872,212753,-1,0%,,,,,,,,,,,,,,,,,,,,,,,,,
