Query Name,Hit Contig ID,Hit length,Nb. HSPs,Score ,E Value ,Align. length,Identity,Query Start Position,Query End Position,Query frame,Query Coverage,Hit Start Position,Hit End Position,Hit frame,Hit coverage
HpArsInsC,Utg200732_LN:i:106080_RC:i:6_XO:i:0_pilon,102886,1,182,3.00E-91,182,100%,1,182,1,100%,46417,46236,-1,0.20%
HpArsInsC,Utg203350_LN:i:121133_RC:i:8_XO:i:0_pilon,123119,1,158,7.00E-78,184,95.70%,1,182,1,100%,71323,71504,1,0.10%
HpArsInsC,Utg201496_LN:i:123481_RC:i:11_XO:i:0_pilon,130282,1,158,7.00E-78,184,95.70%,1,182,1,100%,15986,16167,1,0.10%
HpArsInsC,Utg196332_LN:i:90119_RC:i:9_XO:i:0_pilon,89573,2,155,3.00E-76,183,95.10%,1,182,1,100%,16723,16541,-1,0.20%
HpArsInsC,Utg196332_LN:i:90119_RC:i:9_XO:i:0_pilon,89573,2,140,7.00E-68,183,92.30%,1,182,1,100%,9336,9517,1,0.20%
HpArsInsC,Utg199484_LN:i:326784_RC:i:15_XO:i:0_pilon,334826,1,154,1.00E-75,182,95.10%,2,182,1,99.50%,101990,102171,1,0.10%
HpArsInsC,Utg199340_LN:i:215138_RC:i:20_XO:i:0_pilon,220055,2,152,1.00E-74,183,94.50%,1,182,1,100%,170020,170202,1,0.10%
HpArsInsC,Utg199340_LN:i:215138_RC:i:20_XO:i:0_pilon,220055,2,126,4.00E-60,181,90.10%,3,182,1,98.90%,153535,153356,-1,0.10%
HpArsInsC,Utg196966_LN:i:804025_RC:i:70_XO:i:0_pilon,824978,1,152,1.00E-74,183,94.50%,1,182,1,100%,818973,818792,-1,0%
HpArsInsC,Utg198948_LN:i:646146_RC:i:75_XO:i:0_pilon,652205,1,151,5.00E-74,183,94.50%,1,182,1,100%,621004,620824,-1,0%
HpArsInsC,Utg198228_LN:i:711596_RC:i:56_XO:i:0_pilon,717348,1,151,5.00E-74,183,94.50%,1,182,1,100%,688934,688755,-1,0%
HpArsInsC,Utg200654_LN:i:281160_RC:i:15_XO:i:0_pilon,286423,1,150,2.00E-73,184,94%,1,182,1,100%,41893,41710,-1,0.10%
